,BCH-USD,BTC-USD,ETH-USD,LTC-USD,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-28 05:16:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3259.245552094435,95104.15665381639,6.449838512523203,98363.40220591082,0.0
2018-09-28 05:17:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3284.983684248611,95091.2875877393,12.869066077085591,98376.2712719879,0.0
2018-09-28 05:18:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3351.5852755262313,95057.98679210049,33.30079563881439,98409.57206762672,0.0
2018-09-28 05:19:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3452.29339313283,95007.63273329719,50.35405880329824,98459.92612643001,0.0
2018-09-28 05:20:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3478.419273547508,94994.56979308985,13.062940207340453,98472.98906663735,0.0
2018-09-28 05:21:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3466.383096012316,95000.58788185744,-6.018088767596209,98466.97097786976,0.0
2018-09-28 05:22:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3401.0647545926477,95033.24705256728,-32.65917070982992,98434.31180715993,0.0
2018-09-28 05:23:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3386.1320703412202,95040.713394693,-7.466342125710054,98426.84546503422,0.0
2018-09-28 05:24:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3385.296062370675,95041.13139867826,-0.4180039852777985,98426.42746104894,0.0
2018-09-28 05:25:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3290.1887699620856,95088.68504488256,-47.5536462042969,98378.87381484464,0.0
2018-09-28 05:26:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3227.69353476548,95119.93266248086,-31.247617598298397,98347.62619724634,0.0
2018-09-28 05:27:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3243.9172691540007,95111.82079528659,8.111867194256792,98355.7380644406,0.0
2018-09-28 05:28:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3225.9007520506857,95120.82905383826,-9.008258551652547,98346.72980588894,0.0
2018-09-28 05:29:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3216.3340549384448,95125.61240239438,-4.783348556118786,98341.94645733283,0.0
2018-09-28 05:30:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3223.132155709638,95122.21335200878,3.3990503855886525,98345.34550771842,0.0
2018-09-28 05:31:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3226.326405835178,95120.616226946,1.5971250627659122,98346.94263278118,0.0
2018-09-28 05:32:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3215.3414614154317,95126.10869915588,-5.492472209865743,98341.45016057132,0.0
2018-09-28 05:33:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3215.5455226136255,95126.00666855679,0.10203059910134435,98341.55219117041,0.0
